datetime,project,type,title,author,url,notes
2025-06-17 09:14:00,"",blog,Trail Running Meets Data Science: Adventures with LLMs and Race Stats,"",https://posit.co/blog/race-stats-dashboard-querychat/,""
2025-06-10 13:07:41,"",blog,Posit PBC Awarded 2025 Databricks Developer Tools Partner of the Year at Data + AI Summit,"",https://posit.co/blog/posit-2025-databricks-developer-tools-partner-of-the-year/,""
2025-06-09 12:44:37,connect-cloud,blog,Introducing Connect Cloud for Organizations: A Flexible Way for Data Teams to Deploy and Share,"",https://posit.co/blog/connect-cloud-for-organizations/,""
2025-06-09 11:49:00,orbital-python,blog,Deploy R or Python models to production in Databricks using Orbital,"",https://posit.co/blog/databricks-orbital-r-python-model-deployment/,""
2025-06-05 08:59:00,great-tables,blog,"Level Up Your Python Tables: Structure, Style, and Clarity with Great Tables","",https://posit.co/blog/level-up-great-tables/,""
2025-06-04 08:47:00,posit-package-manager,blog,Introducing Portable Linux R Binary Packages,"",https://posit.co/blog/introducing-portable-linux-r-binary-packages/,""
2025-06-03 13:29:43,quarto,blog,Posit and Typst,"",https://posit.co/blog/posit-and-typst/,""
2025-06-02 08:50:00,ellmer,blog,Which AI model writes the best R code?,"",https://posit.co/blog/r-llm-evaluation/,""
2025-05-30 12:49:00,posit-workbench,blog,Natural language data science with RStudio and Databricks,"",https://posit.co/blog/natural-language-data-science-with-rstudio-and-databricks/,""
2025-05-30 09:01:00,ellmer,blog,Computer vision with LLMs in R,"",https://posit.co/blog/kuzco-computer-vision-with-llms-in-r/,""
2025-05-28 19:25:00,chatlas,blog,Easy tool calls with ellmer and chatlas,"",https://posit.co/blog/easy-tool-calls-with-ellmer-and-chatlas/,""
2025-05-28 08:51:00,posit-package-manager,blog,R Package Repository Snapshots for Clinical Trial Submissions,"",https://posit.co/blog/r-package-snapshots-for-clinical-trial-submissions/,""
2025-05-26 09:41:00,ellmer,blog,Teaching chat apps about R packages,"",https://posit.co/blog/custom-chat-app/,""
2025-05-21 13:54:27,posit-package-manager,blog,Posit Package Manager for Python Data Teams,"",https://posit.co/blog/posit-package-manager-for-python-data-teams/,""
2025-05-20 09:14:00,"",blog,Five essential models for data scientists in finance,"",https://posit.co/blog/five-essential-models-for-data-scientists-in-finance/,""
2025-05-15 14:49:10,"",blog,Registration for posit::conf(2025)’s virtual experience is now open,"",https://posit.co/blog/posit-conf-2025-virtual-experience-registration/,""
2025-05-09 17:03:43,posit-workbench,blog,Posit with Snowflake: A Sweet Spot for Data Scientists,"",https://posit.co/blog/posit-with-snowflake-a-sweet-spot-for-data-scientists/,""
2025-05-08 00:00:00,chatlas,blog,RStudio IDE and Posit Workbench 2025.05.0: What’s New,"",https://posit.co/blog/rstudio-2025-05-0-whats-new/,""
2025-05-07 14:06:55,shiny-python,blog,Shiny for Python Live Coding Video Series,"",https://posit.co/blog/shiny-with-python-live-coding-video-series/,""
2025-04-30 18:30:11,chatlas,blog,Running AI/LLM Hackathons at Posit: What We’ve Learned,"",https://posit.co/blog/llm-hackathon-lessons-learned/,""
2025-04-29 18:29:09,"",blog,New Book: Python Polars: The Definitive Guide Now Available,"",https://posit.co/blog/python-polars-the-definitive-guide-now-available/,""
2025-04-24 14:03:38,quarto,blog,Quarto with Python Live Coding Video Series,"",https://posit.co/blog/quarto-with-python-live-coding-video-series/,""
2025-04-23 13:36:07,posit-package-manager,blog,Posit Package Manager 2025.04.0: Level Up Your Package Security & Compliance,"",https://posit.co/blog/posit-package-manager-2025-04-0/,""
2025-04-17 16:45:04,"",blog,Johnson & Johnson’s Open Source Journey in R,"",https://posit.co/blog/johnson-johnsons-open-source-journey-in-r-registration/,""
